Name,Employer,From,Experience,Keys
Web-дизайнер,Маслов Групп,60000.0,От 1 года до 3 лет,"['Adobe Photoshop', 'Интернет-реклама', 'Креативность', 'Навыки презентации']"
Менеджер по продажам Санкт-Петербург,АйТи Лайт,50000.0,От 1 года до 3 лет,"['Деловое общение', 'Навыки продаж', 'Ведение переговоров']"
QA Engineer (Тестировщик),Валов Евгений Дмитриевич,,От 1 года до 3 лет,"['Test case', 'Тестирование', 'iOS', 'API', 'Android', 'Тестирование мобильных приложений', 'Стратегическое мышление', 'Системное мышление', 'QA', 'Web', 'Умение адаптироваться']"
Оператор станков с ЧПУ,"Реком, Завод Деталей Трубопроводов",56550.0,Нет опыта,[]
Data Scientist (Remote),Spark Equation,120000.0,От 3 до 6 лет,"['Machine Learning', 'Python', 'Java', 'SQL', 'Data Mining', 'Data Analysis', 'MATLAB']"
Оператор отдела контроля качества,Интеллектуальная Безопасность,29000.0,Нет опыта,"['Оперативный поиск информации в сети Интернет', 'Пользователь ПК', 'Английский язык', 'Уверенное владение компьютером']"
Performance marketing manager / Digital marketing / CMO in Fintech startup,ГУРУ,,От 3 до 6 лет,"['Английский язык', 'Digital Marketing', 'Marketing', 'Launching new projects', 'Marketing Strategy Development']"
Senior New Business manager,Internest,150000.0,От 1 года до 3 лет,[]
Senior digital manager/ Senior sales manager/ Ведущий менеджер по продажам,Internest,,От 3 до 6 лет,[]
Junior Linux System Engineer,Intermedia,,От 1 года до 3 лет,[]
Senior Mobile developer,Самокат (ООО Умное пространство),,От 3 до 6 лет,"['React Native', 'Android', 'iOS']"
Senior DevOps Engineer,Эквид,250000.0,От 3 до 6 лет,"['Linux', 'Python', 'Terraform', 'AWS', 'PostgreSQL']"
Мастер по обслуживанию абонентов,Магистральные Сети Связи,54000.0,От 1 года до 3 лет,"['Монтаж оборудования', 'Системы видеонаблюдения', 'Электрические системы и слаботочные системы', 'Технический склад ума']"
Middle DevOps Engineer,Эквид,180000.0,От 1 года до 3 лет,"['Linux', 'Python', 'Terraform', 'Kubernetes', 'PostgreSQL']"
Руководитель отдела аутсорсинга,You Staff,95700.0,От 3 до 6 лет,"['Работа в команде', 'Управление персоналом', 'Мотивация персонала', 'Ориентация на результат', 'Мотивация']"
Администратор баз данных,"АЛИДИ, Группа компаний",,От 1 года до 3 лет,"['Linux', 'MS SQL', 'MS SQL Server', 'SSIS', 'SSAS', 'SSRS', 'MDS', 'Transact-SQL', 'VMware', 'SQL']"
Backend C# Developer,Plumsail,120000.0,От 1 года до 3 лет,"['C#', 'JavaScript', 'CSS', 'HTML', 'Git', 'ASP.NET', 'Sass', 'TypeScript', 'Webpack', 'Web Application Development', 'Веб-программирование', '.NET Framework']"
Middle Developer / Программист (Unity),Matryoshka Games,125000.0,От 1 года до 3 лет,"['GameDev', 'Game Programming']"
Azure Solutions Architect,ICL Services,,Более 6 лет,[]
Product Analyst,Selectel,,От 3 до 6 лет,"['SQL', 'Qlik Sense', 'Ad Hoc Analysis', 'Продуктовые метрики', 'BI', 'Управление проектами']"
Инженер по тестированию,СКАУТ Разработчик Системы,,От 1 года до 3 лет,[]
PHP-разработчик,МКК ТВОЙ.КРЕДИТ,150000.0,От 3 до 6 лет,"['MySQL', 'Yii', 'JavaScript', 'CSS', 'PHP', 'jQuery']"
Специалист MLOps,FunBox,200000.0,От 3 до 6 лет,"['Machine Learning', 'ML', 'DS', 'Data Science', 'DevOps', 'MLOps', 'Python']"
Программист Delphi,"Аукционная компания Союзпушнина, Обособленное структурное подразделение в Санкт-Петербурге",70000.0,От 1 года до 3 лет,"['SQL', 'MySQL', 'XML', 'Embarcadero Delphi', 'Delphi']"
Супервайзер отдела прямых продаж,Билайн,,Нет опыта,"['Работа в команде', 'Обучение персонала', 'Активные продажи', 'Прямые продажи', 'Обучение и развитие']"
Оператор call-центра,Сервис,45000.0,Нет опыта,"['входящие звонки', 'Проведение опросов клиентов', 'исходящие звонки', 'Консультирование клиентов по телефону', 'Работа с претензиями', 'работа с физическими лицами']"
Специалист технической поддержки контроля качества работы,Сервис,45000.0,Нет опыта,"['Пользователь ПК', 'Грамотная речь', 'Грамотность', 'Работа с большим объемом информации', 'Работа в команде']"
Frontend-разработчик (Vue.js),Модум Лаб,,От 1 года до 3 лет,"['Sass', 'CSS', 'JavaScript', 'HTML', 'Node.js', 'Vue.js', 'Vuex', 'PHP', 'MySQL', 'Git', 'Mercurial', 'Верстка', 'Адаптивная верстка']"
QA Engineer/Тестировщик мобильных приложений IOS/Android,Валов Евгений Дмитриевич,,От 1 года до 3 лет,"['Test case', 'Тестирование', 'iOS', 'API', 'Android', 'Тестирование мобильных приложений', 'Стратегическое мышление', 'Системное мышление', 'QA', 'Web', 'Умение адаптироваться']"
Разработчик Python,Vilesse,130500.0,От 3 до 6 лет,"['Python', 'CSS', 'JavaScript', 'React', 'Docker', 'Git', 'HTML5', 'Redux', 'Django Framework', 'Flask']"
Редактор (со знанием английского языка),Малтри,,От 1 года до 3 лет,"['MS PowerPoint', '1С-Битрикс', 'интернет аналитика', 'Администрирование сайтов', 'Английский язык']"
PHP-разработчик,Vilesse,121800.0,От 3 до 6 лет,"['PHP5', 'JavaScript', 'MySQL', 'HTML', 'CSS', 'jQuery', 'HTML5', 'Git', 'Linux', 'CMS Wordpress', 'Apache HTTP Server', 'Symfony', 'Laravel', 'Redis', 'Nginx', 'Ajax', 'AWS']"
Программист - Биостатистик / Statistical Programmer - Biostatistician,Parexel International,,Нет опыта,"['SQL', 'Статистический анализ', 'Статистика', 'Базы данных', 'Математическое программирование']"
Биостатистик / Biostatistician,Parexel International,,Нет опыта,"['Linux', 'Математическая статистика', 'Python', 'MATLAB', 'Sas']"
SEO-специалист,Novakid Inc,100000.0,Более 6 лет,"['SEO оптимизация', 'Составление семантического ядра', 'Google Analytics', 'CSS', 'HTML']"
